,Description
661,"May 2016: Saudi Arabian communications and defense organizations were hacked, possibly by Iran. "
662,April 2016 . U.S. Steel accused Chinese government hackers of stealing proprietary information about steel production techniques for the benefit of Chinese steel producers 
663,"April 2016. The German Christian Democratic Union, the political party of Angela Merkel, was targeted in a credential phis hing attack by a Russian cyber espionage group. "
664,"April 2016. The Philippine Commission on Elections’ (COMELEC) database was breached, exposing the personal information of all 55 million registered Filipino voters, including fingerprint data, passport numb ers and expiry dates, and intentions to run for office. "
665,"April 2016. Microsoft researchers discover a highly skilled hack group that has targeted government agencies (including intelligence agencies), defense research centers and telecommunication service providers in South and Southeast Asia since 2009. "
666,April 2016. North Korean hackers stole warship blueprints from the database of a South Korean shipbuilder. 
667,Mach 2016. A suspected ransomware attack crippled MedStar Health -operated hospitals in Maryla nd and Washington. 
668,"March 2016. North Korean hackers broke into the smartphones of a dozen South Korean officials, accessing phone conversations, text messages, and other sensitive information. "
669,"March 2016. 21st Century Oncology, a cancer care company, r evealed that 2.2 million patients’ personal information may have been stolen in an October 2015 hack. Hackers had access to patient names, Social Security numbers, doctor names, diagnosis and treatment information, and insurance information. "
670,March 2016. Finland’s foreign ministry discovered it had been the victim of a four -year breach in their computer network.   
671,"February 2016. The Internal Revenue Service (IRS) announced that a breach of its systems in May 2015 had compromised over 700,000 American taxpayers. The IRS suspected that a Russian tax fraud operation is responsible for the breach. "
672,"February 2016. Hackers breached the U.S. Department of Justice’s database, stealing and releasing the names, phone numbers, and email addresses or 30,000 DHS and FBI employees. "
673,"February 2016. The Society for Worldwide Interbank Financial Telecommunication (SWIFT) warned its customers that t hey remain vulnerable to attacks by “sophisticated” threat actors, having witnessed “a meaningful number” of attacks on its customers since the Bangladesh heist in February 2016, a fifth of which had resulted in stolen funds. "
674,"January 2016. Austrian -based aerospace parts manufacturer FACC had $54.5 million stolen in a cyberattack. The attackers ignored FACC’s intellectual property or proprietary data, and business operations were not affected. "
675,January 2016. Israel revealed an operation by the United Stat es and Britain to hack into Israel’s surveillance drones. 
676,January 2016. The chief of Sri Lanka’s Financial Crimes Investigation Division had his private email account hacked. It is believed the attack was an attempt at embarrassment motivated by an ongoi ng crackdown by the department. 
