,Description
616,August 2016. Brazilian hackers ramped up phishing attacks against tourists visit ing Rio de Janeiro for the 2016 Olympics. Security researchers ranked Brazil second only to Russia in the sophistication of its financial fraud gangs. 
617,"August 2016. A cybercriminal gang purportedly from Russia breached enterprise software company Oracle’s systems, possibly to install malware on point -of-sale (POS) systems. The POS malware would then allow hackers to gain access to financial information in data breaches at major retailers. "
618,August 2016. Two Hong Kong government agencies were penetr ated in an attack allegedly by China . The attack came weeks before legislative elections in Hong Kong. 
619,"August 2016. Designs and data regarding India’s Scorpene submarines were leaked from the French shipbuilder DCNS. DCNS also builds submarines for Malay sia and Chile, and recently won contracts to build submarines for Brazil and Australia. "
620,"July 2016. Forensic evidence points to Russian intelligence agencies as responsible for the release of 20,000 emails from the Democratic National Committee. July 20 16. A series of DDOS attacks disrupted 68 Philippine government websites on July 12, the day the United Nations International Arbitration court released its decision ruling in favor of the Philippines on the West Philippine Sea territorial dispute. "
621,"July 2016: A new strain of cyberespionage malware with a dropper designed to target specific European energy companies has been discovered. Researchers say the malware appears to be the work of a nation -state, may have originated in Eastern Europe, and its role seems to be battlespace preparation. "
622,"July 2016: A Chinese cyber espionage group targeted defense industries in Russia, Belarus, and   Mongolia with APTs using phishing campaigns to exfiltrate data. "
623,May 2016: Suspected Russian hackers attempted to p enetrate the Turkish Prime Minister’s office and the German Christian Democratic Union party. The attacks targeted personal email accounts and attempted to obtain login credentials. 
624,"May 2016. Researchers uncovered an espionage campaign originating from I ran that attacked government and business targets in multiple countries, as well as targets inside of Iran. The operation was conducted over the course of a decade. "
625,May 2016. Germany’s domestic intelligence agency accused Russia of perpetrating a seri es of cyber attacks on the German Bundestag in 2015. The attackers made off with an undisclosed amount of data. 
626,"May 2016: Saudi Arabian communications and defense organizations were hacked, possibly by Iran. "
627,April 2016 . U.S. Steel accused Chinese government hackers of stealing proprietary information about steel production techniques for the benefit of Chinese steel producers 
628,"April 2016. The German Christian Democratic Union, the political party of Angela Merkel, was targeted in a credential phis hing attack by a Russian cyber espionage group. "
